문제,선택지,답안
"Valls는 테러리즘의 정의에서 ""폭력""을 _______로 정의합니다.","['사람에게 신체적 피해를 포함하는 것만.', '사람에게 신체적 피해와 재산 파괴를 포함하는 것.', '재산 파괴만 포함하는 것.', '위의 어느 것도 해당하지 않음']",1
다음 중 실험과 관찰 연구의 주요 차이점은 무엇입니까?,"['실험은 인간 대상에게만 수행되며, 관찰 연구는 비인간 대상에게도 수행될 수 있습니다.', '실험에서는 연구자가 어떤 변수를 조작하여 반응 변수에 미치는 영향을 관찰하지만, 관찰 연구에서는 단순히 관찰하고 기록합니다.', '실험은 무작위 처리 그룹과 대조 그룹을 사용해야 하지만, 관찰 연구도 처리 그룹과 대조 그룹을 사용하나 무작위일 필요는 없습니다.', '실험은 이중 맹검이어야 하지만, 관찰 연구는 그럴 필요가 없습니다.']",0
새로운 비판적 안보 연구 학파가 안보 연구의 발전에 어떤 중요성을 가졌습니까? 그들이 단순히 국제 관계(IR)가 되어 그들을 안보 연구로 정의하는 위치를 잃었습니까?,"['다음 세대는 정책 질문에 대한 참여와 정책 입안자 및 싱크탱크와의 직접적인 상호 작용에서 그들의 주장을 발전시킬 가능성이 높습니다.', '정책 지식은 이론의 관점에서 반영되며, 미국과 유럽 사상가들 간의 상호 작용이 발생할 때 이론적 맥락은 동일할 것입니다.', '안보 연구는 국제 관계(IR) 학문과 기술 전문가 및 실무자 사이에 위치한 상태를 계속 유지하고 있습니다.', '유럽의 안보 연구는 (정책) 지식의 한 형태로 취급될 것이며, 미국의 안보 이론은 이를 비판적 분석의 주요 실증적 출처로 취급할 것입니다.']",2
다음 물질 중 어느 것을 중단한 후 금단 섬망의 위험이 가장 큽니까?,"['코카인', 'LSD', '페노바르비탈', '헤로인']",2
상관계수 0.6은 x의 변동에 의해 설명되는 y의 변동 비율이 상관계수 0.3에 의해 표시된 비율의 몇 배인지를 나타냅니다.,"['2', '3', '4', '6']",2
다음 중 조작적 조건형성의 결과에 해당하는 예는 무엇입니까?,"['마일로는 매일 아침 자신을 깨우는 알람 시계와 매우 유사한 버저 소리에 놀랍니다.', '폴라는 회사의 부사장으로 승진하고 직원들과의 소통을 잃지 않겠다고 맹세합니다.', '레베카는 연회비를 피하기 위해 신용카드를 취소하지만 새해에 다시 발급받을 계획입니다.', '아쉬메드는 어머니가 잘 듣지 못하기 때문에 전화할 때 평소보다 큰 소리로 말합니다.']",3
"벤이 공정한 20면체 주사위 네 개를 굴리는데, 각 주사위는 1부터 20까지 번호가 매겨져 있습니다. 정확히 두 개의 주사위가 짝수를 나타낼 확률은 얼마입니까?","['\\frac{5}{24}', '\\frac{5}{16}', '\\frac{3}{8}', '\\frac{5}{8}']",2
다음 중 리그닌이 육상 식물의 진화적 성공에 중요한 이유를 가장 잘 설명하는 것은 무엇입니까?,"['리그닌은 구조적 지지를 제공하여 식물이 키가 크게 자랄 수 있게 합니다.', '리그닌은 포자 형성을 자극하여 배우자 형성을 유도합니다.', '리그닌은 발달 중인 배아에 필수 영양소를 공급하여 성장을 가능하게 합니다.', '리그닌은 엽록소에 의한 빛 흡수를 보충하여 광합성 출력을 증가시킵니다.']",0
"앤, 비, 칼라는 같은 동네에 사는 세 친구였습니다. 앤이 출장 중일 때 누군가 그녀의 차고에 침입하여 골프 클럽을 훔쳤습니다. 다음 주에 앤은 휴가를 갈 계획이었고 비에게 골프 클럽을 빌릴 수 있는지 물었습니다. 비는 동의하여 골프 클럽을 앤에게 빌려주었고, 앤은 휴가 후에 반환하겠다고 약속했습니다. 앤이 집에 돌아왔을 때, 그녀는 골프 클럽을 계속 사용했습니다. 몇 주 후, 비는 칼라와 저녁 식사를 하면서 칼라가 앤에게 4,000달러를 빚지고 있다는 사실을 알게 되었습니다. 칼라는 막 직장에서 해고되어 앤에게 돈을 갚을 돈이 없었습니다. 비는 칼라에게 그녀가 앤에게 연락하여 그녀를 대신해 대출을 갚는 방법을 마련하겠다고 말했습니다. 그 후, 앤과 비는 서면 계약을 체결하였고, 비는 칼라가 앤에게 빚진 4,000달러의 만기 채무를 매달 400달러씩 앤에게 갚기로 약속했습니다. 같은 서면 문서에서 앤은 그녀가 여전히 소유하고 있는 비의 골프 클럽을 반환하겠다고 약속했습니다. 그러나 앤은 칼라에게 4,000달러의 채무를 징수하기 위해 소송을 제기하지 않겠다는 서면 또는 구두 약속을 하지 않았으며, 비도 그러한 유예를 요청하는 구두 또는 서면 요청을 하지 않았습니다. 앤과 비의 계약이 서명되고 실행된 후, 앤은 즉시 골프 클럽을 비에게 반환했습니다. 그 후 6개월 동안 비는 매달 400달러를 지불했고 앤은 약속대로 이를 수령했습니다. 그 기간 동안 앤은 실제로 칼라에 대해 법적 조치를 취하지 않았습니다. 그러나 비는 앤과의 계약을 철회했고, 30일 후 앤은 비를 상대로 계약 소송을 제기했습니다. 앤이 비를 상대로 계약 소송을 제기하기 하루 전에 칼라에 대한 앤의 선행 청구에 대한 관련 소멸시효가 만료되었다고 가정하십시오. 다음 중 비가 서면 계약의 조건에 따라 앤에게 책임을 지지 않는다는 가장 설득력 있는 주장은 무엇입니까?","[""앤이 칼라에게 선행 4,000달러의 채무를 징수하기 위해 소송을 제기하지 않겠다고 명시적으로 약속하지 않았기 때문에, 앤의 6개월간의 유예는 비의 약속에 대한 고려사항이 될 수 없습니다."", ""비와 앤 사이의 서면 계약이 교환된 약속의 가치 사이에 큰 불균형을 보여주기 때문에, 비의 약속에 대한 고려사항은 이를 지지하기에 법적으로 불충분했습니다."", ""앤과 비 사이의 계약이 체결될 당시 칼라는 앤에게 4,000달러의 채무를 갚아야 할 기존 의무가 있었기 때문에, 비의 앤에 대한 약속에 대한 고려사항이 없었습니다."", ""앤이 비와의 계약이 체결될 당시 비에게 골프 클럽을 반환해야 할 기존 의무가 있었기 때문에, 비의 앤에 대한 약속에 대한 고려사항이 없었습니다.""]",3
천문학자가 행성을 공전하는 매우 작은 위성을 관찰하고 위성의 행성 중심으로부터의 최소 및 최대 거리와 위성의 최대 공전 속도를 측정합니다. 이러한 측정값으로부터 계산할 수 없는 것은 무엇입니까?,"['위성의 질량', '행성의 질량', '위성의 최소 속도', '공전 주기']",0
"사우나 사용, 때때로 ""사우나 목욕""이라고도 불리며, 단기적인 수동적 극심한 열 노출로 특징지어집니다. 이 노출은 신체의 중심 온도 상승인 경미한 고열을 유발하여 신경내분비, 심혈관 및 세포 보호 메커니즘을 포함한 열 조절 반응을 일으켜 항상성을 회복하고 미래의 열 스트레스에 대비하도록 신체를 조절합니다... 최근 몇 십 년 동안, 사우나 목욕은 관찰, 중재 및 기전 연구의 설득력 있는 데이터에 기반하여 수명을 늘리고 전반적인 건강을 개선하는 수단으로 부상했습니다. 특히 주목할 만한 것은 핀란드 동부의 2,300명 이상의 중년 남성의 건강 결과를 조사하는 진행 중인 인구 기반 코호트 연구인 쿠오피오 허혈성 심장 질환 위험 요인(KIHD) 연구 참가자들에 대한 연구 결과입니다. 이 연구는 사우나 사용과 사망 및 질병 감소 사이의 강력한 연관성을 확인했습니다... KIHD 연구 결과에 따르면 사우나를 주 2~3회 사용하는 남성은 사우나를 사용하지 않는 남성보다 심혈관 관련 원인으로 사망할 가능성이 27% 낮았습니다.[2] 또한, 그들이 경험한 이점은 용량 의존적인 것으로 나타났습니다: 사우나를 주 4~7회 사용하는 남성은 두 배의 이점을 경험했으며 심혈관 관련 원인으로 사망할 가능성이 50% 낮았습니다.[2] 또한, 빈번한 사우나 사용자는 모든 조기 사망 원인으로 사망할 가능성이 40% 낮은 것으로 나타났습니다. 이러한 결과는 남성들의 건강에 영향을 미쳤을 수 있는 연령, 활동 수준 및 생활 방식 요인을 고려했을 때도 유효했습니다.[2]... KIHD는 또한 빈번한 사우나 사용이 치매 및 알츠하이머 병 발병 위험을 용량 의존적으로 줄인다는 것을 밝혔습니다. 주 2~3회 사우나를 사용하는 남성은 주 1회만 사우나를 사용하는 남성에 비해 치매 발병 위험이 66% 낮았고 알츠하이머 병 발병 위험이 65% 낮았습니다... 사우나 사용과 관련된 건강 이점은 정신 건강의 다른 측면에도 확장되었습니다. KIHD 연구에 참가한 주 4~7회 사우나를 사용하는 남성은 식습관, 사회경제적 지위, 신체 활동 및 염증 상태(C-반응성 단백질로 측정됨)에 관계없이 정신병적 장애를 발병할 가능성이 77% 낮았습니다... 고온 노출은 신체에 스트레스를 주어 빠르고 강력한 반응을 유발합니다. 피부 및 중심 체온이 현저하게 상승하고 발한이 시작됩니다. 피부는 먼저 가열되어 40°C(104°F)에 도달하고, 중심 체온 변화는 37°C(98.6°F, 정상)에서 38°C(100.4°F)로 천천히 상승하다가 39°C(102.2°F)로 급격히 상승합니다... 심박출량(신체의 산소 요구에 대응하는 심장의 작업량 측정)은 60~70% 증가하고 심박수(분당 박동 수)는 증가하며 일회 박출량(펌프되는 혈액량)은 변하지 않습니다.[5] 이 기간 동안, 신체의 혈류량의 약 50~70%가 중심에서 피부로 재분배되어 발한을 촉진합니다. 평균적인 사람은 사우나 목욕 중 약 0.5kg의 땀을 흘립니다.[11] 급성 열 노출은 또한 중심 혈액량 감소를 완화하기 위해 전체 혈장량의 일시적인 증가를 유도합니다. 이 혈장량 증가는 발한을 위한 유체의 예비 공급원 역할을 할 뿐만 아니라 자동차 라디에이터의 물처럼 작용하여 중심 체온의 급격한 상승을 방지하고 열 내성을 촉진합니다... 반복적인 사우나 사용은 신체를 열에 적응시키고 미래 노출에 대한 신체의 반응을 최적화하며, 이는 경미한 스트레스에 대한 노출 후 스트레스의 크기에 비례하지 않는 보상 방어 반응인 호르메시스라는 생물학적 현상으로 인해 발생할 가능성이 큽니다. 호르메시스는 세포 손상을 복구할 뿐만 아니라 더 치명적인 스트레스에 대한 후속 노출로부터 보호하는 다양한 보호 메커니즘을 유발합니다... 사우나 사용에 대한 생리학적 반응은 중간에서 고강도 운동 중 경험하는 반응과 놀랍도록 유사합니다. 실제로, 사우나 사용은 만성 질환이나 신체적 제한으로 인해 신체 활동을 할 수 없는 사람들을 위한 운동의 대안으로 제안되었습니다.[13]

다음 글에서 이 발췌문을 따를 가능성이 높은 단락은 무엇입니까?","['열에 대한 반응으로 세포 내 기능을 촉진하는 단백질에 관한 단락.', '에스키모 인구에서 증가한 심장마비에 관한 단락.', '핀란드의 수구 팀의 우수성에 대한 요약.', '고온에 노출된 쥐에 대한 연구.']",0
"가변 주파수 전원에서 작동할 때, AC 모터는 _______ 위해 가변 전압이 필요합니다.","['절연을 보호하기 위해.', '포화 효과를 피하기 위해.', '인버터의 성능을 향상시키기 위해.', 'dV / dt로부터 사이리스터를 보호하기 위해.']",1
"일탈 행위가 '정상화'되면, 그것은:","['중요한 행동 규범을 어기는 것으로 인식된다', ""그렇지 않으면 '정상적인' 성격에서 일시적인 일탈로 여겨진다"", '일탈 경력을 쌓는 첫 단계이다', ""그 사람의 유전적 또는 해부학적 특성에 기인한다고 여겨진다""]",1
"피고인이 두 남자에게 이제 의료기기 회사가 강변에 있는 오래된 창고를 제세동기 공급품을 저장하는 데 사용하고 있다고 말했습니다. 늦은 밤, 두 남자는 창고에 침입하여 큰 제세동기 상자를 트럭에 실었습니다. 떠나면서, 남자 중 한 명이 실수로 담배꽁초를 오래된 판지 상자와 종이 더미에 던졌습니다. 곧 쓰레기 더미에 작은 불이 붙었습니다. 남자들은 자신에게 위험 없이 불을 끌 시간이 있었지만, 그렇게 하지 않았습니다. 대신 그들은 도망쳤습니다. 그 사이 불은 빠르게 퍼져 창고 전체를 불태웠습니다. 피고인이 공모자로 기소된다면, 그는 대개 _______로 책임을 지게 될 것입니다.","['사전에 공모한 공범.', '이차 주범.', '공범.', '책임 없음.']",3
현실주의란 무엇입니까?,"['현실주의는 국가에 초점을 맞추고 국가가 안보 및 기타 목표를 달성하기 위해 채택해야 할 전략을 결정하려고 하는 안보 연구 접근법의 집합입니다.', '현실주의는 안보 연구에 적용될 수 있는 전통적인 접근법을 포괄하는 광범위한 용어입니다.', '현실주의는 군사와 관련된 모든 안보 위협을 포함하는 접근법의 집합입니다.', '현실주의는 국가의 행동이 국제 무대를 구성하며 이 행동이 국가의 내부 환경을 통해 확립된다는 믿음으로 정의됩니다.']",0
"___________는 말의 속도, 리듬, 음조 및 음량을 조절하는 데 어려움을 겪는 의사소통 장애입니다.","['말더듬증', '착어증', '말장애', '무력증']",2
이것들은 판매자 그룹이 모여 구매자를 유치하는 것을 주요 목적으로 하는 이벤트입니다:,"['전시회.', '판매 촉진.', '대중 매체 광고.', '기자 회견.']",0
아래의 어떤 형태의 이주가 외국에서 온 농업 노동자들이 일 년 동안 가장 많이 실천할 가능성이 있습니까?,"['연쇄 이주', '집단 이주', '순환 이주', '국제 이주']",2
페티시즘은 일반적으로 ________ 나이에 발달합니다.,"['30세에서 50세', '출생 시', '10세에서 20세', '20세에서 30세']",2
다음 중 달의 기원에 대해 고려된 주요 가설 중 하나가 아닌 것은 무엇입니까?,"['달이 조력으로 인해 지구에서 분리되었다.', '달이 지구 궤도로 포획되었다.', '지구와 달이 태양 성운에서 공동으로 응집되었다.', '지구가 너무 빠르게 회전하여 달이 분리되었다.']",0
지구상에서 가장 큰 동물은 무엇입니까?,"['흰긴수염고래', '대왕오징어', '매머드', '티라노사우루스']",0
"다음 정보와 관련된 질문입니다.
기밀—각하의 개인 정보 및 지침용
어제 오스트리아-헝가리 대사가 [독일] 황제 [빌헬름 2세]에게 오스트리아-헝가리 황제 프란츠 요제프의 기밀 개인 서한을 전달했습니다. 이 서한은 오스트리아-헝가리 관점에서 현재 상황을 묘사하고 비엔나가 고려 중인 조치를 설명합니다. 사본이 이제 각하에게 전달되고 있습니다. …
황제 폐하는 오스트리아-헝가리를 위협하는 러시아와 세르비아의 범슬라브 운동으로 인해 삼국 동맹에 닥친 위험을 간과하지 않으신다고 말씀하고자 합니다. … 황제 폐하는 또한 프란츠 요제프 황제의 바람에 따라 부쿠레슈티에서 카롤 왕이 동맹의 의무를 이행하고 세르비아를 포기하며 오스트리아-헝가리를 겨냥한 루마니아의 선동을 억제하도록 영향을 미치기 위해 노력할 것입니다.
마지막으로, 세르비아와 관련해서는, 황제 폐하께서는 현재 오스트리아-헝가리와 그 나라 사이에 진행 중인 분쟁에 간섭할 수 없음을 물론 알고 계십니다. 그러나 프란츠 요제프 황제는 황제 폐하께서 동맹의 의무와 오랜 우정에 따라 오스트리아-헝가리를 충실히 지지하실 것임을 확신하셔도 됩니다.
테오발트 폰 베트만 홀베그(독일 총리), 1914년 7월 6일 비엔나 주재 독일 대사에게 보내는 전보
이 글에서 베트만 홀베그의 전보가 종종 독일의 ""백지 수표""라고 불리는 이유는 무엇이라고 추론할 수 있습니까?","['독일이 삼국 동맹에 가입하고 오스트리아-헝가리를 삼국 협상에 맞서 지원하겠다는 약속을 했기 때문에', '오스트리아가 프란츠 페르디난드의 암살, 세르비아, 그리고 오스트리아-헝가리 제국 내의 범슬라브주의에 대해 무제한의 대응 범위를 가지도록 이해되었기 때문에', '독일이 프란츠 페르디난드의 최근 암살에 성공하기 위한 프란츠 요제프의 노력에 무제한의 지원을 약속했기 때문에', '프란츠 요제프와 오스트리아-헝가리에 실질적인 지원을 제공하지 않았기 때문에']",1
다국적 기업은 운영을 _______ 분배합니다.,"['생산 비용이 가장 높은 곳에서 상품을 제조합니다.', '경제적인 곳에서 회계 및 연구 서비스를 수행합니다.', '비교 우위를 기반으로 합니다.', '본사를 저개발국가(LDC)에 위치시킵니다.']",2
"이 두 가지 시나리오 중 어느 시나리오에서 주인공(나/내가/내가 사용하는)이 2020년 현재 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 합니까? 시나리오 1 | 나는 아팠을 때 아기를 방문하지 않았습니다. 시나리오 2 | 부자들은 요트에서 취하는 것을 좋아하며, 그들의 보트 선장인 나는 절대 술에 취하지 않습니다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",2
개인 심리학자의 실천에서 윤리적 행동은 _______에 의해 규제됩니다.,"['개별 치료사의 재량', '국가 법률', '전문 윤리 강령 및 주와 지방의 법률', '인증 기관']",2
다음 중 고전적 가설 검정 프레임워크에 관한 설명으로 틀린 것은 무엇입니까?,"['귀무 가설이 기각되면 대립 가설이 채택된다', '귀무 가설은 검정 대상인 진술이며 대립 가설은 관심 있는 나머지 결과를 포함한다', '유의성 검정과 신뢰 구간 접근법은 항상 동일한 결론을 제공한다', '가설 검정은 모집단 매개변수에 대한 추론을 하기 위해 사용된다.']",0
"미란다는 사진을 비례적으로 확대했습니다. 그녀의 원본 사진은 가로 4cm, 세로 6cm입니다. 새로운 더 큰 사진의 가로가 10cm라면, 세로는 얼마입니까?","['8 cm', '12 cm', '15 cm', '20 cm']",2
"DNA의 한 구간에 대해, 다음 분자 중 뉴클레오타이드 수가 가장 적은 것은 무엇입니까?","['원래 DNA 구간의 단일 가닥', '점 돌연변이 후 원래 DNA 구간의 단일 가닥', '원래 DNA로부터의 1차 RNA 전사물 (스플라이싱 전)', '원래 DNA로부터 만들어진 상보적 DNA (cDNA)의 단일 가닥']",3
지구력 훈련은 근육의 _______ 능력을 증가시킵니다.,"['더 빠르게 수축하다.', '포스포크레아틴을 분해하다.', '지방과 탄수화물을 태우다.', '무산소적으로 에너지를 생성하다.']",2
화학 반응 속도는 _______에 의해 결정됩니다.,"['평형 상수', '메커니즘의 속도 결정 단계 또는 느린 단계', '반응 용기 압력', '첫 단계에서 형성된 중간체']",1
심리학자의 35세 환자가 이웃의 9세 아동을 성추행했다고 인정했습니다. 이 환자는 이러한 행동의 과거 이력이 있습니다. 심리학자는 _______ 해야 합니다.,"['즉시 당국에 통보하고 환자에게 이 사실을 알린다', '환자에게 즉시 성추행을 중단하지 않으면 기밀 유지가 깨지고 당국에 보고될 위험이 있음을 경고한다', '당국에 통보하기 전에 아동의 복지에 책임이 있는 아동의 부모에게 알린다', '문제를 치료적 상황 내에서 처리하여 기밀을 유지한다']",0
서비스의 중요한 특성 중 하나는 사람들이 동시에 하나의 사건으로 서비스를 생산하고 소비한다는 것입니다. 이 독특한 과정의 결과 중 하나는 청사진 모델을 기준으로 서비스의 전달을 표준화하는 것이 매우 어렵다는 것입니다. 이 서비스의 특성은 무엇입니까?,"['무형성.', '불가분성.', '변동성.', '소멸성.']",2
단기적으로 긴축적 통화 정책은 총수요를 출력으로 하고 물가 수준을 Aggregate demand      Output      Price Level,"['증가      증가      증가', '증가      증가      감소', '감소      감소      증가', '감소      감소      감소']",3
품 구매에 대해 정보에 입각한 합리적인 결정을 내릴 수 없는 상태를 무엇이라고 합니까?,"['소비자 포함', '소비자 능력', '소비자 배제', '소비자 취약성']",3
이 두 가지 시나리오 중 어느 것에서 주인공(나/저/내가 사용하는 인물)이 2020년 기준 미국의 일반적인 도덕적 기준에 따라 명백히 도덕적으로 잘못된 행동을 했습니까? 시나리오 1 | 나는 그녀가 그 약에 알레르기가 있다는 것을 알고 있었기 때문에 그녀에게 약을 주고 싶었다. 시나리오 2 | 나는 그의 논문을 편집해 주면서 학업을 도왔다.,"['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",1
"다음 정보와 관련된 질문입니다.
""여자가 늦게 잠자리에 들되, 일찍 일어나 의무를 다하라. 낮이나 밤이나 일을 두려워하지 말라. 쉬운 일이든 어려운 일이든 가사 일을 거부하지 말라. 해야 할 일은 완전히, 깔끔하게, 체계적으로 마치라. 여자가 이러한 규칙을 따르면 부지런하다고 할 수 있다.
여자는 남편을 섬기기 위해 태도가 바르고 성품이 곧아야 한다. 순결하고 조용한 정신으로 자신의 일을 돌보라. 잡담과 어리석은 웃음을 사랑하지 말라. 조상에게 바치는 술과 음식을 깨끗이 정리하고 정돈하라. 여자가 이러한 원칙을 지키면 조상 숭배를 계속한다고 할 수 있다.
이 세 가지 삶의 기본을 지키는 여자는 나쁜 평판을 얻거나 불명예를 당한 적이 없다. 여자가 그것을 지키지 않으면, 그녀의 이름이 어떻게 존경받을 수 있겠는가; 그녀는 자신에게 불명예를 가져올 수밖에 없다.""
© 프린스턴 대학교 동아시아 도서관 및 게스트 컬렉션.
반소, 여훈, 약 80년경.
위 본문에 따르면 고대 중국에서 여성에게 기대되는 것은 무엇입니까?","['그들이 집안에서 의무를 순종적으로 이행하는 것', '그들이 남편과 함께 가사 일을 협력하는 것', '그들이 의미 있는 취업을 위해 교육을 받는 것', '그들이 자신의 의견을 대담하게 말하는 것']",0
다음 환자 그룹 중 어느 그룹이 조기 경고 점수(EWS)로 평가되어야 합니까?,"['60세 이상의 환자만.', '응급실에 입원한 환자만.', '중환자실/고위험병동에 있었던 환자만.', '수술 전후 급성 악화를 겪은 환자 및 대수술을 받은 환자.']",3
다음 중 행정 명령에 대해 사실이 아닌 것은 무엇입니까?,"['대통령은 논란이 되는 행동에 대해 행정 명령을 사용하는 것을 피합니다.', '행정 명령은 의회에서 통과된 법과 동일한 효과를 가집니다.', '대통령은 1970년대 이후 행정 명령을 더 많이 사용해 왔습니다.', '행정 명령은 의회의 승인을 우회합니다.']",0
2020년 미국의 일반적인 도덕 기준에 따르면 주인공(나/내가/내가 사용하는)이 명백히 도덕적으로 잘못된 행동을 하는 시나리오는 다음 중 어느 것입니까? 시나리오 1 | 그녀의 아들이 잡혔다는 소식을 듣고 나는 당국이 움직이고 있으니 걱정하지 말라고 그녀를 안심시켰다. 시나리오 2 | 나는 친구의 저녁 식사에 핫소스를 추가했다.,"['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",3
50.0 mL의 0.0025 M HBr 샘플을 50.0 mL의 0.0023 M KOH와 혼합했습니다. 생성된 혼합물의 pH는 얼마입니까?,"['1', '4', '5', '11']",1
"2020년 미국의 일반적인 도덕 기준에 따르면, 다음 두 시나리오 중 어느 시나리오에서 주인공(나/내/나의 사용)이 명백히 도덕적으로 잘못된 행동을 하는가? 시나리오 1 | 나는 세 살짜리 딸을 5분 동안 타임 아웃 시켰다. 시나리오 2 | 나는 작은 아이의 얼굴에 페이스 페인트를 했다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",3
도시의 유권자들이 도시의 특정 구역에서 도박을 합법화하는 국민투표를 통과시켰습니다. 이 법은 카지노의 활동을 허가하고 감독하는 책임을 지는 다섯 명으로 구성된 위원회를 설립했습니다. 위원회의 구성원은 시장이 임명하도록 되어 있습니다. 법적 권한에 따라 시장은 네 명의 민간인과 한 명의 성직자를 위원회에 임명했습니다. 성직자 임명이 제1차 수정헌법의 설립 조항을 위반한다는 헌법적 도전이 제기되었습니다. 시장의 행동은,"['헌법에 위배됩니다. 왜냐하면 성직자를 위원회에 임명하는 것은 종교와의 과도한 정부 개입을 조장하기 때문입니다.', '위원회 구성원이 집행 권한을 부여받았기 때문에 표면적으로 헌법에 위배됩니다.', '헌법에 부합합니다. 왜냐하면 위원회에 단 한 명의 종교인을 임명하는 주된 효과가 종교를 진흥하거나 저해하지 않기 때문입니다.', '헌법에 부합합니다. 왜냐하면 위원회 구성원 자리는 임명 특권이지 선거권이 아니기 때문입니다.']",2
"다음 정보와 관련된 질문입니다.
여기 브로드웨이 하우스의 제조 부서에서 일하는 한 여성의 사례가 있습니다. 그녀와 같은 백 명의 사례를 대표합니다. 그녀는 주당 평균 3달러를 벌고 있습니다. 방세로 1.50달러를 지불하고, 아침 식사로는 커피 한 잔을 마십니다. 점심을 살 여유는 없습니다. 하루 한 끼가 그녀의 허용량입니다. 이 여성은 젊고, 예쁩니다. 그녀는 ""세상을 앞에 두고"" 있습니다. 도덕가들이 가난한 사람들의 고통의 원인 중 하나로 비난하는 ""조기 무분별한 결혼""보다 더 큰 죄를 짓지 않는다면 그것은 기적이 아닐까요? 거의 모든 문이 이러한 노예 상태에서 벗어나는 환영받는 탈출구처럼 보일 수 있습니다. ""하루에 세 끼를 먹고 나니 훨씬 건강해진 것 같아요,""라고 한 소녀의 집에 있는 하숙인이 말했습니다. 두 명의 어린 재봉소녀가 먹을 것을 얻기 위해 가사 서비스를 찾으러 왔습니다. 그들은 한동안 반만 먹었고, 굶주림이 그들을 미국 태생 소녀의 자존심이 허락하지 않는 한 문으로 몰아넣었습니다. 빈곤이 그녀의 독립의 대가였음에도 불구하고 말입니다.
—제이콥 리스, 다른 절반은 어떻게 사는가, 1890
리스의 가난한 사람들의 삶을 조사한 작업은 다음 중 어느 것과 가장 직접적으로 관련이 있습니까?","['옐로 저널리즘', '노예제 폐지론', '머크레이커', '사회주의']",2
다음 중 참인 것은 무엇입니까?,"['모든 콤팩트 공간은 완비 공간이다', '모든 완비 공간은 콤팩트 공간이다', 'a도 b도 아니다.', 'a와 b 둘 다.']",0
정상재는 항상 _______을(를) 가집니다.,"['탄력적인 수요 곡선', '비탄력적인 수요 곡선', '탄력적인 공급 곡선', '양의 소득 탄력성']",3
RNA 중합효소가 프로모터 부위에 결합하는 것을 방지하는 단백질은 _______입니다.,"['증강자', '억제자', '조작자', '프로모터']",1
"NMR 선의 T2가 15 ms입니다. 다른 선폭 확장 원인을 무시하고, 선폭을 계산하십시오.","['0.0471 Hz', '21.2 Hz', '42.4 Hz', '66.7 Hz']",1
이 두 가지 시나리오 중 어느 경우에 주인공(나/내가/내가 사용)이 2020년 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 했습니까? 시나리오 1 | 나는 침대 옆에서 여동생의 일기장을 발견하고 읽었다. 시나리오 2 | 나는 음료를 고객에게 주기 전에 한 모금 마셨다.,"['잘못된, 잘못된', '잘못된, 잘못되지 않음', '잘못되지 않음, 잘못된', '잘못되지 않음, 잘못되지 않음']",0
"16, 15, 12의 인수를 가지는 가장 작은 양의 정수는 무엇입니까?","['240', '120', '60', '111']",0
"M이 테이프 알파벳 {빈칸, 0, 1}을 가진 단일 테이프, 결정론적 튜링 기계라고 하고, C는 빈 테이프로 시작하는 M의 (무한할 수 있는) 계산을 나타낸다고 합시다. 아래 각 문제의 입력은 M과 양의 정수 n입니다. 다음 중 어떤 문제가 결정 가능합니다?
I. 계산 C가 적어도 n 단계 동안 지속됩니다.
II. 계산 C가 적어도 n 단계 동안 지속되며, M이 n번째 단계 이후의 어느 시점에서 1을 출력합니다.
III. 계산 C 동안 M이 적어도 n개의 서로 다른 테이프 칸을 스캔합니다.","['없음', 'III만', 'I와 II만', 'I와 III만']",3
빠르게 움직이는 우주선에서 지구를 지나가는 시계는 _______에서 볼 때 느리게 보입니다.,"['우주선 내부에서.', '지구에서.', '둘 다.', '둘 다 아님.']",1
"미국 및 캐나다 심리학 협회에서 발행한 윤리 강령에 따르면, 법의학 활동에 참여하는 심리학자는 _______ 통해 오해를 불러일으킬 수 있는 증언이나 보고서를 피해야 합니다.","['결론을 잠정적인 용어로 진술함으로써', '당사자 중 한 명과 2번의 전문적 관계가 있었던 경우 증언을 거부함으로써', '심리측정 정보를 제공함으로써', '자신의 데이터나 결론의 한계를 인정함으로써']",3
쇼군에 의해 한때 통치되었던 나라는 어디입니까?,"['중국', '일본', '북한', '대만']",1
모든 1학년 학생들은 수영 테스트를 봅니다.,"['(∀x)(Sx ⊃ Fx)', '(∀x)(Fx ⊃ Sx)', '(∀x)(Fx ∨ Sx)', '(∀x)(Fx ≡ Sx)']",1
자외선의 파장은 약 6 × 10^-8 m입니다. 이 빛의 주파수는 얼마입니까?,"['5 × 10^15 Hz', '0.5 Hz', '2 Hz', '20 Hz']",0
